accuracy,recall,precision,f1,corrcoef,Names,Models
41,0.5257142857142857,0.5257142857142857,0.5474260155884216,0.5254289983722238,0.45114910444015405,Fish_without_AE,CatBoostClassifier
42,0.2955801104972376,,,,,EOGHorizontalSignal_without_AE,XGBClassifier
43,0.568,,,,,RefrigerationDevices_with_AE,SVC
44,0.8788410886742757,,,,,TwoLeadECG_with_AE,SVC
45,0.4020100502512563,,,,,UWaveGestureLibraryAll_with_AE,SVC
46,0.5444444444444444,,,,,FordB_with_AE,RandomForestClassifier
47,0.4066666666666667,,,,,SmoothSubspace_with_AE,RandomForestClassifier
48,0.760932944606414,,,,,Chinatown_without_AE,SVC
49,0.7054054054054054,,,,,HandOutlines_with_AE,RandomForestClassifier
50,0.6186666666666667,,,,,LargeKitchenAppliances_with_AE,XGBClassifier
51,0.9577464788732394,,,,,StarLightCurves_with_AE,SVC
